UserID,Date,Time,Class1,Class2,Class3,Amount,OnSale,Payment Type,Vendor
dummy,2026-01-02,13:53:29,GROCERY,,,6.0,Yes,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,PRODUCE,,,1.29,No,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,PRODUCE,,,2.04,No,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,PRODUCE,,,1.49,No,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,PRODUCE,,,3.99,No,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,PRODUCE,,,2.31,No,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,T&T Supermarket US | 19630
dummy,2026-01-02,13:53:29,GROCERY,,,6.0,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,PRODUCE,,,1.29,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,PRODUCE,,,2.04,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,PRODUCE,,,1.49,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,PRODUCE,,,3.99,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,PRODUCE,,,2.31,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036 | WA | 19630"
dummy,2026-01-02,13:53:29,GROCERY,,,6.0,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,PRODUCE,,,1.29,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,PRODUCE,,,2.04,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,PRODUCE,,,1.49,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,PRODUCE,,,3.99,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,PRODUCE,,,2.31,No,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
dummy,2026-01-02,13:53:29,DELI,,,5.99,Yes,Visa,"T&T Supermarket US | 19630 Hwy 99, Lynnwood, WA 98036"
