chain_name,name,address_line1,address_line2,city,state,zip_code,country_code,is_active
99 Ranch Market,99 Ranch Market Fremont,34444 Fremont Blvd,,Fremont,CA,94555,US,True
Chick-fil-A,Chick-fil-A Bellevue,705 116th Ave NE,,Bellevue,WA,98004,US,True
Costco Wholesale,Costco Wholesale Kailua-Kona,73-5600 Maiau St,,Kailua-Kona,HI,96740,US,True
Costco Wholesale,Costco Wholesale Lynnwood,18109 33rd Ave W,1190.0,Lynnwood,WA,98037,US,True
India Bazar Farmers Market,India Bazar Farmers Market,360 US 46 East,,Totowa,NJ,07512,US,True
In-N-Out Burger,In-N-Out Burger Fremont,43349 Pacific Commons Blvd,,Fremont,CA,94538,US,True
Island Gourmet Markets,Island Gourmet Markets at The Queen's Marketplace,69-201 Waikoloa Beach Dr,,Waikoloa Village,HI,96738,US,True
JangAn Sullungtang,JangAn Sullungtang,19520 Highway 99,100.0,Lynnwood,WA,98036,US,True
Longs Drugs,Longs Drugs Hilo,555 Kilauea Ave,,Hilo,HI,96720,US,True
Save-On-Foods,Save-On-Foods Ladner,5186 48 Ave,,Delta,BC,V4K 1W3,CA,True
Sweet7,Sweet7,8328 Capstan Way,1131.0,Richmond,BC,V6X 4B6,CA,True
T&T Supermarket Canada,T&T Supermarket Yaohan Centre,3700 Number 3 Rd,1000.0,Richmond,BC,V6X 3X2,CA,True
T&T Supermarket US,T&T Supermarket Lynnwood,19630 Highway 99,,Lynnwood,WA,98036,US,True
Trader Joe's,Trader Joe's Lynnwood,19715 Highway 99,101.0,Lynnwood,WA,98036,US,True
